"version","group","ndogs","nsheeps","nblacks","mode","iterations","average"
"straight-line-me","g3","3","50","5","false","500","1123"
"straight-line-gap","g3","3","50","5","false","500","1305"
"convex-hull","g3","5","100","50","false","15","823.666667"
"convex-hull","g3","5","200","50","false","15","813.800000"
"convex-hull","g3","5","400","50","false","15","1053.066667"
"convex-hull","g3","2","100","50","false","15","1524.533333"
"convex-hull","g3","2","200","50","false","15","2025.200000"
"convex-hull","g3","2","400","50","false","15","2480.000000"
"convex-hull","g3","10","100","50","false","15","503.200000"
"convex-hull","g3","10","200","50","false","15","588.400000"
"convex-hull","g3","10","400","50","false","15","659.600000"
"convex-hull","g3","10","800","50","false","15","732.133333"
"convex-hull","g3","15","100","50","false","15","1713.866667"
"convex-hull","g3","15","200","50","false","15","535.266667"
"convex-hull","g3","15","400","50","false","15","599.066667"
"convex-hull","g3","15","800","50","false","15","623.133333"
"convex-hull","g3","15","200","50","true","15","1180.733333"
"sweeper","g3","26","500","0","false","10","767.900000"
"sweeper","g3","26","1000","0","false","10","840.000000"
"sweeper","g3","30","500","0","false","10","311.200000"
"sweeper","g3","30","1000","0","false","10","336.900000"
"sweeper","g3","34","500","0","false","10","294.400000"
"sweeper","g3","34","1000","0","false","10","339.000000"
"sweeper","g3","24","500","0","false","10","1776.000000"
"sweeper","g3","25","500","0","false","10","1721.400000"
